Ticker,Rank,Model,RMSE,R²,MAE,Params_Count,Adj_R²,Parameters
AAPL,1,Weibull,0.009249273526109427,0.2998094133181938,0.006490092672227283,4,0.29906532130259145,5.48343354e-02|3.76002127e+09|4.87243989e-01|1.68028467e-04
AAPL,2,Power Law,0.009249729371780174,0.2997403945542837,0.006490459942750653,3,0.2991824187730521,2.09798202e-06|4.51021998e-01|1.67754094e-04
AAPL,3,Square Root,0.009256175937560252,0.29876396756271395,0.006490040566658771,2,0.29839156393422894,8.50417707e-07|1.50054066e-04
AAPL,4,Arctangent,0.009276246124543058,0.29571968736297016,0.006504278975018194,3,0.2951585078309885,7.67466272e-03|2.86214466e-08|1.60211948e-04
AAPL,5,Exponential Decay,0.009285929039363225,0.29424860834873434,0.006510120797536242,3,0.29368625664223924,1.09703330e-02|2.17012023e-08|1.55717781e-04
AAPL,6,Sigmoid,0.00929696672431902,0.2925698336822352,0.006518715998945602,4,0.2918180481707392,2.06719664e-02|3.72707375e-08|4.83467670e+06|-9.57013308e-03
AAPL,7,Hyperbolic Tangent,0.009302836507985456,0.29167625774093786,0.00652418142946024,3,0.29111185635268366,1.02006171e-02|1.92600630e-08|1.51246661e-04
AAPL,8,Piecewise Linear,0.00938148625938272,0.27964874744732104,0.0065843502577788825,4,0.2788832307070951,4.00488908e-11|3.17020108e-03|3.15935862e-11|-3.27259146e-03
AAPL,9,Damped Sinusoidal,0.009401968402287547,0.27649989808555187,0.006572699358620255,4,0.2757310350654515,4.32073673e+00|3.56492047e-11|4.34986530e-09|1.11750808e-04
AAPL,10,Gaussian,0.009659100134763643,0.23638516185077607,0.006703036612754593,4,0.23557366893031995,3.77319615e-02|3.44902053e+08|-2.67251653e+08|-1.66264788e-02
AAPL,11,Log-Quadratic,0.009662776443978956,0.23580377881062675,0.006822576932686287,4,0.2349916680548464,1.59218195e-20|3.11537886e-04|1.07110311e-04|0.00000000e+00
AAPL,12,Cubic,0.009675575507661611,0.23377796894428415,0.006747326550547961,4,0.23296370536186572,-3.44553251e-29|2.48218764e-20|6.20015004e-11|-1.75684718e-04
AAPL,13,Logarithmic,0.009701343729999229,0.22969129291669077,0.0068322482575113985,2,0.22928220703932312,3.12996146e-04|2.53521765e-04
AAPL,14,Regime Mixture,0.009712318315265605,0.2279474931941362,0.006783333203374083,3,0.22733231191381287,6.00474229e-11|-1.79787771e-29|2.92766758e-05
AAPL,15,Rational,0.009736762314683458,0.22405639345086192,0.006876259113063997,4,0.2232317987573984,5.74107958e-12|9.49251447e-03|-1.00097735e-09|1.90387790e+00
AAPL,16,Quadratic,0.009768786504503114,0.21894384604809647,0.006810354895683519,3,0.2183214905469395,-5.37780593e-21|5.48351570e-11|5.46829639e-05
AAPL,17,Linear,0.009772878204075136,0.2182894113490167,0.006806141955472633,2,0.21787427030353024,5.40721010e-11|5.56954528e-06
AAPL,18,Inverse,0.01105141701442747,0.0003753526063898782,0.007754666098867706,3,-0.00042116105687206584,1.04885528e-01|-8.91955921e+07|4.99151056e-06
