Ticker,Rank,Model,RMSE,R²,MAE,Params_Count,Adj_R²,Parameters
TSL,1,Piecewise Linear,0.026761058690833027,0.15760366923488933,0.019687832750432815,4,0.15354392788180438,3.02365153e-08|5.34898010e-03|2.05805856e-08|-6.92652471e-03
TSL,2,Rational,0.02683402265613784,0.1530038236999478,0.019613494775604003,4,0.1489219144165741,2.74319514e-10|4.30102245e-03|-3.13396812e-07|4.99862405e-01
TSL,3,Power Law,0.02684338913055055,0.15241242876118677,0.01969175460514727,3,0.14935254583252688,3.39559495e-05|4.93195195e-01|-8.49307541e-05
TSL,4,Weibull,0.026843423912226064,0.15241023227736505,0.019691917370263382,4,0.1483254623124367,6.16243824e+01|4.88012763e+12|4.93310387e-01|-8.49067614e-05
TSL,5,Square Root,0.026843521360364192,0.15240407835341296,0.019694932905921215,2,0.1503665881571472,3.11440096e-05|-8.35933917e-05
TSL,6,Cubic,0.027004335539228222,0.14221810240321242,0.01999801836135979,4,0.13808421374009539,-3.10500234e-21|3.17346737e-15|4.62053736e-08|-3.02962210e-04
TSL,7,Gaussian,0.02703859075683031,0.14004051561374387,0.02002516744442611,4,0.1358961325564607,1.42182501e-01|2.34467259e+06|1.63689575e+06|-5.15588240e-02
TSL,8,Sigmoid,0.027044889377571858,0.13963981503095602,0.020037752625011333,4,0.13549350088652679,1.31240986e-01|1.53123437e-06|3.17905572e+05|-5.04325053e-02
TSL,9,Exponential Decay,0.027051376882440588,0.1392270005975501,0.02002138272903551,3,0.13611951684519474,5.60249584e-02|1.12337552e-06|-3.27249480e-05
TSL,10,Damped Sinusoidal,0.02705148482165972,0.13922013134640798,0.02003552992691192,4,0.13507179463000507,1.06938034e+00|5.47110724e-08|3.99824542e-07|-3.38602825e-05
TSL,11,Regime Mixture,0.027056367472291606,0.13890937083201615,0.020052435425738566,3,0.1358007404018069,4.63927138e-08|-3.16478353e-21|-4.15975257e-05
TSL,12,Hyperbolic Tangent,0.027079850015659726,0.13741402058495178,0.02006334823421246,3,0.13429999177839924,5.80566226e-02|8.58623323e-07|-3.35388800e-05
TSL,13,Arctangent,0.027080737892374158,0.1373574558284778,0.02005853888917334,3,0.13424322281702827,4.36550100e-02|1.22429563e-06|-3.15168142e-05
TSL,14,Log-Quadratic,0.027261369061293193,0.1258112564976176,0.019759558235250003,4,0.12159829869760608,3.44186929e-15|9.42185096e-04|-4.57477378e-04|0.00000000e+00
TSL,15,Quadratic,0.027269018345464812,0.12532060936637068,0.020122488069991278,3,0.12216292203556334,3.48549811e-15|3.54049037e-08|-3.23790336e-04
TSL,16,Logarithmic,0.027322104029587502,0.12191174809448291,0.019778098144452628,2,0.11980095902740229,9.41973542e-04|-1.73878970e-04
TSL,17,Linear,0.02733128294050405,0.12132165827559993,0.020122649445370667,2,0.11920945072337774,3.53822317e-08|-3.66238170e-05
TSL,18,Inverse,0.0275454267464156,0.10749862140493849,0.019994221485687087,3,0.10427659476741125,1.28614579e+10|1.34438112e+12|-1.86236590e-04
