Ticker,Rank,Model,RMSE,R²,MAE,Params_Count,Adj_R²,Parameters
ORC,1,Weibull,0.01243462751154502,0.21931140886792622,0.008808165497381564,4,0.21681120521337993,8.91342153e-03|2.19522370e+05|2.02861351e+00|1.93796341e-04
ORC,2,Sigmoid,0.012449361514330898,0.21746021023412776,0.008811858569704066,4,0.21495407800109056,1.84968511e-02|6.13338433e-06|3.01881322e+04|-8.65444101e-03
ORC,3,Hyperbolic Tangent,0.0124536273836371,0.21692383181853336,0.008819114028474852,3,0.21504444901489783,9.25462464e-03|3.05052456e-06|1.69661259e-04
ORC,4,Arctangent,0.012458164621646695,0.2163531305956483,0.008814638959461881,3,0.21447237810907793,6.90208279e-03|4.38298703e-06|1.58199536e-04
ORC,5,Exponential Decay,0.012464104405461987,0.21560570065524698,0.008821273223348938,3,0.21372315433681965,9.58495458e-03|3.69629748e-06|1.59598746e-04
ORC,6,Power Law,0.012528982767444147,0.2074185637492395,0.00884221325465751,3,0.20551636830223774,5.46930074e-05|3.64860077e-01|1.13238107e-04
ORC,7,Square Root,0.012572458283761084,0.20190851202915217,0.008839115746741814,2,0.20063258638891102,8.39702862e-06|8.39807716e-05
ORC,8,Damped Sinusoidal,0.012590636344914136,0.19959898056517933,0.008867198007125732,4,0.1970356466358445,3.91702609e+00|5.52411324e-09|7.20055183e-07|1.03035722e-04
ORC,9,Piecewise Linear,0.012678377908009422,0.18840444862811023,0.008949959857070831,4,0.1858052635156302,3.39634749e-09|3.72482335e-03|2.33707587e-09|-4.20992297e-03
ORC,10,Log-Quadratic,0.012744257181062249,0.17994812423988227,0.009022734067536366,4,0.1773218572238371,1.62077477e-16|4.73825660e-04|-4.16692416e-05|0.00000000e+00
ORC,11,Logarithmic,0.01275828958114446,0.17814125059460728,0.009031913772213815,2,0.17682732773384724,4.75162605e-04|1.21220588e-04
ORC,12,Rational,0.012811641297625073,0.171253296836258,0.009070533348957468,4,0.16859918409594177,4.31148975e-09|1.26032913e-01|-2.43263288e-06|2.37283244e+01
ORC,13,Cubic,0.012855008030794689,0.16563327300412112,0.008975996174762316,4,0.16296116178876208,-1.79777872e-22|2.80929879e-16|7.62579719e-09|-2.13424100e-04
ORC,14,Gaussian,0.012866794730013427,0.1641025173331988,0.009000205758159501,4,0.16142550377782072,3.75369933e-02|3.49758146e+06|-2.68768913e+06|-1.63959176e-02
ORC,15,Regime Mixture,0.01289063376215597,0.16100221966019068,0.009015536305862534,3,0.1589886249873751,7.40480491e-09|-1.54869577e-22|5.61143768e-05
ORC,16,Quadratic,0.013096379764555527,0.1340061804337147,0.00909856426262911,3,0.1319277952667557,1.51113883e-17|5.13654573e-09|-3.25650262e-05
ORC,17,Linear,0.013096496371987527,0.13399075910861546,0.009099122841398055,2,0.13260625192893305,5.14421559e-09|-1.74301285e-05
ORC,18,Inverse,0.014073232666941767,-1.794405757316042e-08,0.00971773977604673,3,-0.002400017987123304,2.20929903e-03|-1.13165378e+05|-1.48848878e-10
