Ticker,Rank,Model,RMSE,R²,MAE,Params_Count,Adj_R²,Parameters
ORCL,1,Weibull,0.01121938917518308,0.33457083495112794,0.008109077634766922,4,0.33243975676041904,3.13450807e-02|1.75267050e+07|8.13658767e-01|1.03555885e-04
ORCL,2,Arctangent,0.011223498581348874,0.3340832826491372,0.00811615284363035,3,0.3324850825274952,1.68432824e-02|1.37617779e-07|8.10655463e-05
ORCL,3,Sigmoid,0.011223658866979699,0.3340642622621317,0.008113859555438656,4,0.3319315617409536,4.29092582e-02|2.06792361e-07|1.42706242e+06|-1.86639874e-02
ORCL,4,Exponential Decay,0.01122832704696069,0.3335101908299486,0.008115510000495329,3,0.3319106152879404,2.41901003e-02|1.04780717e-07|8.86431724e-05
ORCL,5,Power Law,0.011240866290675961,0.3320207535140114,0.008110071211870892,3,0.3304176033224451,1.03001123e-06|5.87534600e-01|1.09964390e-04
ORCL,6,Hyperbolic Tangent,0.011248549684074313,0.33110728274774215,0.00812741835379593,3,0.3295019402263367,2.13542690e-02|1.02724647e-07|7.89749729e-05
ORCL,7,Square Root,0.011274008132443157,0.32807609353283984,0.008152373512222661,2,0.32700187465759256,4.13925706e-06|1.45497263e-04
ORCL,8,Damped Sinusoidal,0.011296600736565481,0.32538038475379094,0.008146459910649847,4,0.32321987357606086,6.76787433e+00|3.17828342e-10|3.12495965e-08|8.66768796e-05
ORCL,9,Piecewise Linear,0.011451694342489441,0.3067292116795941,0.00822773706178082,4,0.30450896896279545,8.60381423e-10|2.84855613e-03|6.58565418e-10|-3.36274880e-03
ORCL,10,Cubic,0.011524929172928487,0.29783377455762206,0.008285477274066725,4,0.2955850436514815,-1.63775071e-25|6.65012023e-18|1.22981238e-09|-2.76187119e-04
ORCL,11,Gaussian,0.011624173028568855,0.2856886720050995,0.008270170162088569,4,0.28340104565443525,6.03691634e-02|3.06533551e+07|2.24849665e+07|-2.41928651e-02
ORCL,12,Regime Mixture,0.011629771252847348,0.28500047888513547,0.008351271593948694,3,0.28328448003445983,1.17875684e-09|-9.71469931e-26|2.96706797e-05
ORCL,13,Quadratic,0.011768417902312273,0.2678508379290475,0.00843367231625845,3,0.26609367994007727,3.29277986e-19|9.88085458e-10|-3.28109887e-05
ORCL,14,Linear,0.011768830190052312,0.2677995376755332,0.008432828113511426,2,0.266628953403232,9.91902927e-10|-1.61118147e-05
ORCL,15,Log-Quadratic,0.012093386485751378,0.226857992579805,0.008691560677595973,4,0.22438195732785882,5.74007065e-18|4.34382184e-04|-3.90748298e-05|0.00000000e+00
ORCL,16,Rational,0.012156864378391538,0.21872028383977093,0.008739461411878624,4,0.2162181870706429,3.46921720e-08|3.82673031e+00|-6.18911312e-06|6.56039165e+02
ORCL,17,Logarithmic,0.01222387120081834,0.2100839537436494,0.008726426430331861,2,0.20882109835395102,4.38740777e-04|2.58564451e-04
ORCL,18,Inverse,0.012434241660525593,0.1826613935985385,0.008847170370282355,3,0.18069978094317507,4.75369860e+11|8.08206797e+13|2.56849529e-04
