Ticker,Rank,Model,RMSE,R²,MAE,Params_Count,Adj_R²,Parameters
TSLA,1,Weibull,0.0176167479844442,0.42111226333625607,0.012674571267585854,4,0.4201886291333622,6.63831238e-02|1.95620846e+08|7.66190181e-01|4.62886284e-04
TSLA,2,Power Law,0.017641350813413132,0.41949423246248796,0.012687886711219365,3,0.4187998475730891,4.19975118e-07|6.04182101e-01|4.64003953e-04
TSLA,3,Arctangent,0.017645953910305327,0.4191912542000168,0.012703422225535105,3,0.41849650689642826,2.93248896e-02|1.77677210e-08|4.47897431e-04
TSLA,4,Exponential Decay,0.01764989714428356,0.41893164560206786,0.012695941253158432,3,0.4182365877618789,4.22153935e-02|1.35605198e-08|4.44170278e-04
TSLA,5,Sigmoid,0.017661293151325617,0.4181810466867346,0.012705510696063054,4,0.41725273563238563,7.21259589e-02|2.78003626e-08|8.47352800e+06|-3.21169893e-02
TSLA,6,Hyperbolic Tangent,0.01769188395317837,0.41616378529777476,0.012724760802606358,3,0.41546541661990133,3.63921385e-02|1.36120102e-08|4.42754882e-04
TSLA,7,Square Root,0.01771520146809223,0.4146238044908639,0.012760578439681093,2,0.4141571833704899,2.69473378e-06|5.92265225e-04
TSLA,8,Damped Sinusoidal,0.017731875445001898,0.41352134538333685,0.012732028671228916,4,0.41258559962407604,9.82135745e+00|5.02223991e-11|4.14158137e-09|3.76521325e-04
TSLA,9,Piecewise Linear,0.01795596608242687,0.39860416092828177,0.012838587786479538,4,0.3976446143162806,2.11085723e-10|5.80943347e-03|2.02943463e-10|-5.31548872e-03
TSLA,10,Gaussian,0.018051240517566684,0.3922052114773954,0.012940538127592948,4,0.3912354551335221,1.32780183e-01|2.72243498e+08|2.31843912e+08|-6.68288370e-02
TSLA,11,Cubic,0.018108261521660587,0.3883592921699115,0.012984483212883969,4,0.38738339953675616,-1.01658537e-27|1.89949810e-20|3.25082575e-10|7.17751478e-05
TSLA,12,Regime Mixture,0.018109394722471313,0.3882827377825836,0.012982117891586925,3,0.3875510185694049,3.25209923e-10|-1.00142152e-27|1.19316544e-04
TSLA,13,Quadratic,0.01847459789875154,0.3633615628858612,0.013138163714442446,3,0.3626000336548634,-7.35248602e-20|2.76634245e-10|1.85649305e-04
TSLA,14,Linear,0.018492535340403366,0.36212470688515885,0.013147972749999699,2,0.3616162371417433,2.73086227e-10|-5.69797917e-06
TSLA,15,Rational,0.01934967605071751,0.30162246100143175,0.013897062498971923,4,0.30050817693442167,4.62649552e-09|8.33477657e+00|-1.23229215e-06|7.17434679e+02
TSLA,16,Log-Quadratic,0.01942163361449503,0.2964185508584042,0.013881696890771166,4,0.29529596378358713,1.38605276e-19|7.48159913e-04|4.70771309e-04|0.00000000e+00
TSLA,17,Logarithmic,0.01948501768277121,0.2918186673901353,0.013906026984545527,2,0.2912541545701992,7.53161139e-04|8.37163666e-04
TSLA,18,Inverse,0.023151677614899075,0.00021227849015503786,0.01649913091061383,3,-0.0009836398370097754,3.41786814e+01|-1.44122410e+07|-2.47312574e-06
